Site,Long(°E),Lat(°N),Evel,Nvel,SigVe,SigVn,Cor,Solution
ARTU,58.5605,56.4298,-0.63,-0.18,0.09,0.09,0.015,IPGN*
ASTG,45.341,40.124,2.45,9.28,1.6,1.11,0,Nocquet
ATTA,50.1,37.156,-0.14,13.5,2.1,2.09,0.03,Raeesi
AWAZ,48.925,31.188,-3.08,20.78,1.68,1.66,0.009,Raeesi
BA07,58.305,29.149,1.81,12.26,1.48,1.47,0.003,Raeesi
BA09,58.428,28.784,6.1,10.51,1.53,1.52,0.003,Raeesi
BA12,58.523,29.137,3.5,8.21,1.13,1.13,0.006,Raeesi
BA13,58.074,29.23,1.78,11.36,1.58,1.58,0.003,Raeesi
BA14,57.94,29.105,5.36,10.38,1.13,1.13,0.006,Raeesi
BA30,57.967,29.316,3.85,10.31,1.13,1.13,0.005,Raeesi
BA31,58.13,29.187,3.01,11.45,1.52,1.5,0.003,Raeesi
BA32,58.141,29.078,3.17,11.88,1.54,1.52,0.003,Raeesi
BA34,58.278,28.944,4.55,10.31,1.62,1.61,0.003,Raeesi
BA35,58.195,28.888,5.42,11.33,1.56,1.54,0.003,Raeesi
BA36,58.469,28.898,3.39,9.45,1.49,1.49,0.004,Raeesi
BA38,58.675,28.96,5.76,8.03,1.15,1.15,0.006,Raeesi
BADA,48.814,36.764,-0.17,11.61,0.36,0.35,0.003,Raeesi
BAFT,56.58,29.2392,1.24,14.48,0.12,0.12,0.013,IPGN
BAGH,55.657,27,4.33,23.67,2.43,2.25,0.031,Raeesi
BAHD,56.0461,31.8407,0.4,12.35,0.1,0.1,0.019,IPGN
BAHR,50.6082,26.2091,3.25,22.12,0.54,0.45,0,IPGN*
BAJE,58.215,34.558,-0.49,6.94,0.56,0.54,-0.004,Raeesi
BAKU,49.814,40.372,3.04,1.21,0.39,0.44,0.001,Reilinger
BALA,44.75,37.534,-3.64,15.82,0.69,0.69,0.003,Raeesi
BAMO,50.98,30.109,-1.31,18.13,1.59,1.57,0,Raeesi
BASH,53.025,35.705,0.32,10.28,0.76,0.78,0,Raeesi
BASK,44.017,38.043,-3.21,15.19,0.9,0.9,-0.026,Reilinger
BAV0,43.782,41.121,1.63,6.75,0.45,0.44,-0.02,Reilinger
BAZ2,60.177,27.865,5.03,3.63,1.61,1.6,0.005,Raeesi
BAZM,60.18,27.865,4.95,3.4,2.23,1.9,0.023,Raeesi
BEBN,50.2169,30.6057,-3.01,18.41,0.11,0.11,0.016,IPGN
BES2,54.832,29.363,-1.09,14.04,0.41,0.41,0.018,Raeesi
BEDI,65.2259,26.4493,5.12,12.37,1.28,1.18,0.035,Frohling
BEUG,42.787,44.011,-0.44,0.71,0.44,0.64,-0.031,Reilinger
BIAJ,55.8052,36.0861,1.1,8.42,0.11,0.12,0.014,IPGN
BIAR,55.906,35.988,1.14,9.36,0.59,0.61,-0.01,Raeesi
BIG2,53.637,27.852,-1.68,15.4,1.32,1.33,0.001,Raeesi
BIJA,47.93,36.232,-1.98,13.59,0.36,0.35,0,Raeesi
BIJD,59.2553,32.9002,0.9,6.99,0.13,0.13,0.012,IPGN
BILE,48.717,39.497,5.85,12.27,0.36,0.35,0.001,Reilinger
BJMI,43.296,41.779,0.92,3.41,0.71,0.77,-0.079,Reilinger
BLDH,51.8287,36.2083,-2.3,10.03,0.21,0.11,0.015,IPGN
BMG2,53.48,26.97,1.97,20.36,1.54,1.56,0.001,Raeesi
BNAB,46.0519,37.3699,-1.43,12.3,0.38,0.72,0,IPGN
BOJD,57.2716,37.4803,-2.36,4.56,0.1,0.11,0.015,IPGN
BOND,50.732,36.623,-1.37,11.28,0.74,0.76,0,Raeesi
BOOM,51.812,35.73,-1.62,10.61,0.36,0.34,0,Raeesi
BORC,41.777,41.268,0.06,3.7,0.43,0.43,-0.007,Reilinger
BORU,48.506,33.772,-4.61,14.29,1.66,1.66,0.009,Raeesi
BRBS,56.3206,27.2072,5,23.18,0.26,0.27,0.006,IPGN
BRMN,47.2884,37.919,1.34,13.01,0.17,0.11,0.008,IPGN
BRSR,56.721,29.997,0.75,15.45,1.69,1.68,0.002,Raeesi
BSOF,45.7316,38.674,4.52,10.82,0.12,0.12,0.011,IPGN
BTMN,41.154,37.864,-6.43,15.27,0.81,0.81,0,Reilinger
BUR0,44.287,40.381,2.08,7.4,0.41,0.4,-0.019,Reilinger
BZGN,44.3922,39.3792,4.97,7.95,0.22,0.41,0.002,IPGN
CATK,43.061,38.007,-2.99,13.24,0.82,0.81,-0.003,Reilinger
CHBR,60.6511,25.2808,2.09,4.85,0.32,0.89,0.001,IPGN
CHEL,50.098,32.482,-4.21,17.36,1.64,1.62,0,Raeesi
CHIT,51.2132,35.7287,-1.55,12.31,0.44,0.47,0.002,IPGN
CHO0,44.276,40.736,1.67,7.41,0.44,0.42,-0.019,Reilinger
CHSH,50.988,35.088,-1.76,11.19,0.43,0.43,-0.001,Raeesi
CHSM,50.9894,35.0876,-1.2,12.13,0.1,0.09,0.019,IPGN
CMCV,57.76,30.537,0.44,9.11,1.64,1.62,0.002,Raeesi
DAMA,52.059,35.701,-1.63,9.63,0.38,0.38,0.01,Raeesi
DAMO,47.744,39.513,7.22,14.71,0.5,0.47,-0.019,Raeesi
DAND,48.183,36.607,0.51,12.11,0.66,0.69,-0.009,Raeesi
DARG,57.589,35.915,-0.26,5.95,0.54,0.54,-0.009,Raeesi
DASH,51.814,29.945,-2.16,15.13,1.57,1.56,0,Raeesi
DBST,57.3302,29.2377,2.87,11.85,0.41,0.83,0.001,IPGN
DBYZ,44.145,39.556,3.71,7.97,0.71,0.72,-0.03,Reilinger
DEDA,50.578,30.99,-0.29,17.36,1.64,1.62,0,Raeesi
DEH2,54.7,28.645,-3.03,13.4,1.28,1.28,0.002,Raeesi
DELO,47.429,32.692,-1.56,16.56,1.76,1.75,0.009,Raeesi
DENA,56.504,28.529,4.27,14.19,1.04,0.96,-0.014,Raeesi
DESL,59.297,31.196,2.06,7.2,1.6,1.59,0.002,Raeesi
DEZF,48.678,32.657,-4.02,17.98,1.66,1.65,0.009,Raeesi
DOGH,58.869,35.108,0.36,5.08,0.64,0.63,-0.016,Raeesi
DRGZ,59.0692,37.4662,-0.3,0.93,0.2,0.19,0.007,IPGN
ERZM,41.3,39.973,-0.34,4.93,0.93,0.98,-0.023,Reilinger
ERZR,41.255,39.906,-0.17,4.35,0.87,0.87,-0.003,Reilinger
ESFA,57.427,37.159,0.87,4.71,0.64,0.65,-0.012,Raeesi
ESFN,57.4946,37.0495,0.87,6.07,0.16,0.18,0.007,IPGN
FAR2,52.106,28.851,-3.08,19.15,1.17,1.16,-0.01,Raeesi
FARM,59.843,35.6961,-0.33,2.27,0.11,0.12,0.014,IPGN
FERD,58.1831,34.0307,-1.25,8.23,0.09,0.11,0.019,IPGN
FINO,55.867,27.651,0.97,18.93,2.33,2.19,0.021,Raeesi
FOIM,51.166,35.4093,-1.29,12.25,0.11,0.11,0.014,IPGN
FOPM,50.84,35.7648,-1.26,11.93,0.2,0.17,0.005,IPGN
GARD,59.197,35.495,-0.3,2.72,0.65,0.64,-0.027,Raeesi
GARM,51.6457,35.985,-1.57,10.43,0.1,0.14,0.023,IPGN
GARN,44.742,40.149,1.17,7.14,1.11,1.11,0,Reilinger
GEG0,44.81,40.16,1.83,8.61,0.49,0.48,-0.014,Reilinger
GENO,56.162,27.366,3.58,20.83,2.34,2.18,0.021,Raeesi
GHAB,54.989,36.43,-0.09,10,0.71,0.72,0.01,Raeesi
GHAR,49.851,35.14,-1.92,13.59,0.74,0.72,-0.001,Raeesi
GHO1,49.812,36.699,-1.37,12.77,0.68,0.71,0,Raeesi
GHOL,57.217,28.01,1.67,14.9,0.98,0.9,-0.002,Raeesi
GHOT,44.428,38.489,-0.7,13.3,1.07,1.08,-0.009,Reilinger
GLMT,59.4485,27.4822,3.76,6.39,0.24,0.27,0.008,IPGN
GNDG,54.4141,34.0401,-0.08,12.94,0.59,0.42,0.014,IPGN
GONA,58.6835,34.3731,-0.49,6.3,0.1,0.09,0.02,IPGN
GORI,47.739,33.057,-3.69,17.04,1.72,1.71,0.009,Raeesi
GORI,46.367,39.511,4.95,10.7,0.36,0.36,0.001,Reilinger
GOSM,48.419,38.706,5.18,13.09,0.95,0.83,0.002,Raeesi
GOT2,53.631,28.624,-1.76,16.26,1.3,1.29,0.001,Raeesi
GOTR,55.791,31.416,0.38,11.39,1.62,1.62,0.001,Raeesi
GRME,56.264,37.042,-0.56,8.25,0.52,0.53,-0.012,Raeesi
GWAD,62.3203,25.144,4.99,7.69,0.34,0.31,0.036,Frohling
HAJT,60.502,31.573,1.71,2.6,1.21,1.2,0.005,Raeesi
HAMD,48.5343,34.8691,-1.39,13.01,0.15,0.11,0.01,IPGN
HARA,54.608,30.079,0.4,13.61,0.41,0.39,0.016,Raeesi
HASH,48.922,37.764,2.49,11.8,0.44,0.46,0.004,Raeesi
HEFZ,48.458,38,4.13,12.21,0.81,0.85,-0.018,Raeesi
HELI,52.305,36.206,-2.47,10.03,0.58,0.56,0.02,Raeesi
HINI,41.696,39.369,-0.47,7.54,0.8,0.79,-0.003,Reilinger
HJBD,60.0098,33.6039,0.62,2.24,0.23,0.27,0.007,IPGN
HMEH,40.596,36.584,-5.6,15.23,0.52,0.53,0.001,Reilinger
HORS,42.167,40.042,0.02,7.06,0.76,0.76,-0.009,Reilinger
HOSN,48.2534,32.6699,-3.76,15.1,0.27,0.28,0.003,IPGN
HRMK,57.917,29.642,2.9,10.4,1.62,1.6,0.003,Raeesi
HSAD,57.465,29.371,2.71,14.72,1.61,1.61,0.002,Raeesi
HSGD,50.747,36.0067,-1.68,11.5,0.1,0.11,0.017,IPGN
HSTD,47.0942,37.5762,-0.94,13.89,0.11,0.15,0.008,IPGN
IGIR,44.018,39.929,3.42,5.79,0.8,0.79,-0.004,Reilinger
IJEV,45.139,40.907,3.32,7.35,0.49,0.47,0,Reilinger
ILAM,46.427,33.648,-3.79,16.69,1.1,1.07,0.028,Raeesi
ILLM,46.3974,33.5887,-3.55,16.78,0.1,0.1,0.016,IPGN
INGU,42.062,42.721,-0.95,3.05,0.39,0.39,0,Reilinger
IRAJ,56.445,30.775,-0.08,13.7,1.6,1.6,0.002,Raeesi
ISBA,44.4384,33.3414,-2.41,17.69,0.29,0.38,0,IPGN*
ISER,44.011,36.16,-3.04,17.33,1.35,1.35,0.003,Reilinger
ISL2,53.066,28.347,-2.48,16.4,1.2,1.21,0.001,Raeesi
ISNA,44.353,32.013,-1.42,17.29,0.62,0.62,0.044,Reilinger
ISSD,43.673,34.601,-2.61,18.61,0.73,0.74,0.019,Reilinger
JAM1,45.049,39.297,4.83,10.64,0.72,0.73,-0.003,Raeesi
JASC,57.7699,25.6375,1.86,12.81,0.19,0.16,0.006,IPGN
JASK,57.7639,25.6495,2.06,14.82,0.49,1,0.004,IPGN
JERM,45.661,39.837,4.89,11.54,0.97,0.93,-0.016,Raeesi
JOLF,45.605,38.952,3.85,11.48,0.71,0.71,-0.004,Raeesi
JOZA,48.952,34.256,-3.48,15.82,0.73,0.7,-0.002,Raeesi
KAL2,43.341,38.549,-5.56,12.82,0.66,0.65,0,Reilinger
KALT,59.6404,36.3913,-0.43,1.4,0.17,0.19,0.006,IPGN
KAN2,52.056,27.834,-0.38,22.02,1.25,1.27,-0.01,Raeesi
KAR0,44.657,40.101,2.66,7.97,0.76,0.78,-0.005,Reilinger
KARM,46.459,39.315,3.68,12.33,1.32,0.83,0,Reilinger
KARS,43.17,40.685,1.45,5.63,0.55,0.54,-0.012,Reilinger
KASP,46.758,40.184,3.65,11.03,0.74,0.66,0,Reilinger
KATE,46.511,41.652,0.56,5,0.49,0.49,0,Reilinger
KATI,56.365,31.413,1.28,11.48,1.08,1.08,0.003,Raeesi
KBLG,44.5647,39.0306,4.38,9.86,0.25,0.14,0.005,IPGN
KCHI,67.1128,24.9314,6.45,29.03,0.14,0.11,0.004,Frohling
KERM,57.119,30.277,0.16,15.84,0.54,0.46,0.021,Raeesi
KHAF,60.1583,34.585,0.18,1.42,0.3,0.3,0.008,IPGN
KHAS,56.233,26.208,4.71,25.74,1.37,1.37,0.013,Raeesi
KHAV,46.265,38.736,5.46,10.02,0.69,0.69,-0.005,Raeesi
KHID,49.237,39.818,4.85,6.66,1.46,1.48,0,Reilinger
KHJE,46.5956,38.1517,2.77,10.11,0.18,0.18,0.005,IPGN
KHO2,54.126,29.923,-1.58,14.59,0.41,0.4,0.022,Raeesi
KHON,50.458,33.157,-2.9,13.4,0.75,0.72,0.008,Raeesi
KHOR,47.123,37.368,-2.63,13.54,0.56,0.57,0.013,Raeesi
KHOS,48.409,30.246,-0.26,19.27,1.15,1.1,0.017,Raeesi
KHSF,58.821,32.755,0.82,6.72,1.16,1.16,0.003,Raeesi
KHUR,55.0813,33.7693,0.11,11.46,0.1,0.1,0.019,IPGN
KISL,42.663,43.742,-0.21,0.82,0.56,0.56,-0.028,Reilinger
KIZ0,44.19,41.185,1.88,5.33,0.72,0.72,-0.009,Reilinger
KIZ2,40.65,37.246,-6.83,14.42,0.85,0.86,-0.005,Reilinger
KKDY,44.1599,39.3323,3.96,7.41,0.16,0.19,0.006,IPGN
KLBR,47.0323,38.8687,4.6,12.06,0.18,0.2,0.006,IPGN
KMSH,47.1247,34.3561,-1.01,10.44,1.17,0.5,0,IPGN
KOKU,41.793,38.753,-5.43,12.77,0.47,0.49,-0.024,Reilinger
KORD,54.199,36.86,-2.3,6.24,0.36,0.34,0.008,Raeesi
KRAD,48.2787,33.4334,-4.61,14.43,0.14,0.13,0.009,IPGN
KRD2,50.531,31.808,-4.67,15.42,1.62,1.61,0,Raeesi
KRES,44.486,42.447,0.23,3.7,0.46,0.45,0,Reilinger
KRKT,41.794,38.754,-5.05,11.91,0.91,0.93,-0.011,Reilinger
KRS1,43.093,40.588,1.59,5.01,0.82,0.82,-0.01,Reilinger
KRYZ,42.149,39.714,-1.74,8.49,0.86,0.77,0,Reilinger
KSHA,51.255,34.15,-2.81,13.14,0.4,0.38,-0.002,Raeesi
KSHM,58.473,35.2706,1.23,5.58,0.1,0.1,0.02,IPGN
KUDI,45.795,41.951,-0.79,5.21,0.56,0.53,0,Reilinger
KURD,48.148,40.333,3.88,9.84,0.76,0.66,0,Reilinger
KUWT,47.971,29.325,0.26,19.21,0.85,0.84,0,Reilinger
LALE,56.69,29.596,1.77,15.19,1.12,1.13,0.004,Raeesi
LAMB,54.004,26.883,1.52,21.15,1.41,1.28,0.002,Raeesi
LAMD,53.2034,27.3637,3.25,19.49,0.22,0.14,0.008,IPGN
LAR2,54.32,27.644,-0.42,18.11,1.36,1.37,0.012,Raeesi
LARZ,52.811,36.078,-2.49,8.2,0.68,0.69,0,Raeesi
MABD,52.2852,36.5884,-4.17,7.06,0.11,0.12,0.014,IPGN
2-Mar,55.956,37.845,-4.27,6.03,0.58,0.61,-0.013,Raeesi
MARD,40.728,37.311,-6.83,14.44,0.85,0.86,-0.005,Reilinger
MARG,48.891,37.187,-0.13,11.51,0.7,0.72,-0.009,Raeesi
MARV,52.752,29.798,-0.05,13.93,1.56,1.53,0,Raeesi
MAVT,55.9439,37.801,-4.56,6.19,0.12,0.13,0.012,IPGN
MEHR,52.157,35.868,-1.71,8.88,0.52,0.52,0.01,Raeesi
MF01,51.955,35.683,-1.31,9.97,0.42,0.42,0,Raeesi
MF02,51.797,35.801,-0.96,10.39,0.33,0.33,0,Raeesi
MF03,51.885,35.649,-1.41,10.89,0.32,0.32,0,Raeesi
MF04,52.117,35.258,-1.94,11.65,0.36,0.36,0,Raeesi
MF05,51.277,35.493,-0.68,12.2,0.44,0.43,0,Raeesi
MF06,50.543,35.227,-1.07,12.17,0.43,0.43,-0.001,Raeesi
MF07,52.008,35.897,-0.4,8.74,0.33,0.34,0,Raeesi
MF10,51.304,36.394,-2.5,11.48,0.46,0.47,0,Raeesi
MF12,51.315,36.15,-1.12,12.04,0.54,0.54,0.01,Raeesi
MF13,50.632,36.009,-1.1,11.57,0.44,0.44,0,Raeesi
MF15,51.613,35.988,-2.37,11.65,0.33,0.33,-0.01,Raeesi
MF16,51.665,35.724,-1.17,11.92,0.33,0.33,0,Raeesi
MF17,51.108,35.753,-1.43,10.9,0.32,0.33,0,Raeesi
MHAN,57.2884,30.0716,1.34,14.67,0.18,0.16,0.008,IPGN
MIAN,46.162,36.908,-2.1,14.18,0.38,0.35,0.005,Raeesi
MIDY,41.357,37.417,-5.82,13.6,1.05,1.06,0.001,Reilinger
MINA,57.1,27.16,1.05,22.56,2.21,2.05,0.022,Raeesi
MKLA,49.038,14.486,12.64,21.51,0.56,0.54,0.001,Reilinger
MMKN,44.771,37.9851,-2.06,13.63,0.49,0.39,0.001,IPGN
MMOR,44.114,40.178,2.73,6.7,0.65,0.64,-0.014,Reilinger
MMR0,44.091,40.178,2.09,7.07,0.42,0.41,-0.012,Reilinger
MNDB,46.0092,36.93,-0.95,13.3,0.19,0.17,0.005,IPGN
MOBA,51.808,34.977,0.09,10.71,0.77,0.76,0.04,Raeesi
MOBK,51.7947,35.0529,-0.63,12.29,0.12,0.13,0.013,IPGN
MOGH,48.049,39.013,5.79,11.53,0.82,0.85,-0.017,Raeesi
MOSH,57.62,26.993,1.11,13.51,2.25,2.11,0.022,Raeesi
MRAD,43.759,38.997,-0.51,11.08,0.73,0.54,-0.038,Reilinger
MRQD,40.761,35.754,-4.45,15.36,0.51,0.52,0.008,Reilinger
MSHN,59.4798,36.3347,-0.1,1.38,0.1,0.1,0.021,IPGN
MURA,43.763,38.99,-0.07,10,0.78,0.78,-0.003,Reilinger
MUSC,58.569,23.564,5.94,26.48,0.75,0.63,0,Reilinger
NEBA,60.047,31.573,1.34,6.23,1.3,1.3,0.004,Raeesi
NEHB,60.0382,31.542,2.25,6.11,0.35,0.47,0.003,IPGN
NEYA,50.045,36.401,-2.21,11.43,0.76,0.8,0,Raeesi
NICH,44.526,41.831,0.97,6.3,0.45,0.43,0,Reilinger
NINO,43.891,41.537,0.98,4.36,0.49,0.46,0,Reilinger
NKAD,51.3098,36.685,-3.43,9.59,0.13,0.16,0.009,IPGN
NKSR,60.2536,26.2536,2.09,5.38,0.44,0.37,0.006,IPGN
NOGH,59.937,32.988,1.54,5.54,1.01,1.01,0.004,Raeesi
NORA,46.093,39.536,4.11,11.13,1.07,0.96,0.013,Raeesi
NOSH,51.768,36.586,-4.08,10.47,1.93,1.75,0,Raeesi
NSSP,44.5029,40.2265,2.29,7.09,0.16,0.15,0.007,IPGN*
NYBD,57.397,32.492,-0.24,9.68,1.26,1.27,0.002,Raeesi
NZSF,45.1144,38.9988,4.42,9.64,0.17,0.28,0.004,IPGN
ODZ0,44.593,41.055,3.07,7.02,0.69,0.69,-0.01,Reilinger
OLTU,41.99,40.548,0.92,3.74,0.79,0.81,-0.046,Reilinger
ORMA,64.6339,25.2088,2.89,13.16,1.16,1.08,0.014,Frohling
ORTA,47.869,37.929,3.5,13.87,0.61,0.61,0.003,Raeesi
OSL2,52.607,27.474,-1.16,22.99,1.89,1.81,0,Raeesi
OZAL,43.989,38.657,-2.25,14.84,0.76,0.76,-0.002,Reilinger
PANG,64.1096,26.9778,1.56,1.85,0.78,0.73,0.033,Frohling
PASN,63.4684,25.2588,4.01,17.14,1.11,0.97,0.024,Frohling
PISH,51.885,35.224,-0.76,10.97,0.52,0.51,0.01,Raeesi
PLOR,52.064,35.8496,-1.72,8.93,0.11,0.27,0.007,IPGN
PLZI,51.971,35.6303,-1.31,10.25,0.15,0.18,0.006,IPGN
PMBK,44.55,40.84,2.93,7.28,0.69,0.69,-0.007,Reilinger
POLD,45.0615,39.3514,4.86,9.66,0.14,0.16,0.006,IPGN
POOL,51.5742,36.4031,-2.97,9.91,0.13,0.16,0.009,IPGN
POOS,57.237,26.379,2.49,23.08,2.39,2.23,0.021,Raeesi
PTNS,42.91,39.232,-2.5,9.13,0.38,0.32,0.001,Reilinger
QAE2,59.188,33.663,-0.59,5.33,0.75,0.72,0.006,Raeesi
QAEN,59.176,33.74,-0.14,5.61,0.1,0.11,0.018,IPGN
QIR2,53.029,28.477,-3.21,15.39,1.18,1.19,0.001,Raeesi
QOMS,51.799,32.25,-2.73,14.19,0.74,0.7,0,Raeesi
QUCH,58.5373,37.0707,-0.5,2.38,0.17,0.1,0.011,IPGN
RAIN,57.584,29.762,1.7,14.48,1.59,1.59,0.002,Raeesi
RAVR,56.8092,31.252,0.85,12.19,0.11,0.16,0.011,IPGN
RAZ0,44.718,40.52,3,7.31,0.88,0.94,-0.01,Reilinger
RAZD,55.8,28.33,3.62,15.4,0.99,0.99,0.015,Raeesi
ROBA,56.07,33.369,0.56,10.25,0.43,0.4,0.011,Raeesi
ROKM,51.0983,35.4872,-1.21,11.49,0.4,0.36,0.001,IPGN
RSHT,49.6244,37.323,-2.29,12.89,0.1,0.1,0.017,IPGN
RTCL,51.711,35.5744,-0.37,11.24,0.65,0.3,0,IPGN
RTKM,51.0989,35.4864,-1.17,11.46,0.22,0.26,0.004,IPGN
SA10,43.951,40.108,2.35,7.2,0.43,0.42,-0.013,Reilinger
SA20,43.807,40.097,2.42,6.83,0.43,0.42,-0.012,Reilinger
SAA2,53.146,30.087,-0.98,12.93,1.17,1.13,0.001,Raeesi
SABZ,57.6528,36.1849,1.17,7.85,0.15,0.27,0.005,IPGN
SAFI,57.9213,36.6982,-0.2,4.32,0.2,0.1,0.009,IPGN
SAGZ,46.3112,36.2211,-2.44,15,0.16,0.23,0.004,IPGN
SALF,50.4686,34.4842,-1.62,13.04,0.1,0.09,0.02,IPGN
SALY,49.02,39.676,6.52,6.38,1.38,1.41,0,Reilinger
SAMU,48.529,41.595,0.25,1.15,0.74,0.66,0,Reilinger
SARB,59.955,32.578,1.75,5.83,1.18,1.19,0.004,Raeesi
SARD,50.026,30.325,-2.7,20.6,1.68,1.66,-0.001,Raeesi
SARK,61.1486,36.5368,-0.25,1.72,0.12,0.19,0.009,IPGN
SARZ,56.946,27.488,-1.75,19,2.27,2.12,0.021,Raeesi
SBAK,55.1075,30.1462,-0.33,13.69,0.12,0.11,0.015,IPGN
SDAD,57.6817,30.4122,1.84,8.37,0.19,0.2,0.006,IPGN
SEDE,52.179,30.726,-0.4,11.86,1.54,1.52,0,Raeesi
SEMD,44.574,37.305,-3.2,14.87,0.89,0.89,0.011,Reilinger
SEMI,51.43,31.225,-4.27,14.02,1.63,1.62,0,Raeesi
SEMN,53.564,35.662,-0.02,8.87,0.42,0.4,0.011,Raeesi
SEND,55.929,31.713,0.18,12.53,1.06,1.06,0.003,Raeesi
SEPI,51.358,30.61,-2.63,15.99,1.57,1.57,0,Raeesi
SFHN,51.7061,32.5177,-0.57,13.1,0.33,0.12,0.005,IPGN
SHA0,44.528,40.753,3.28,7.15,0.75,0.75,-0.012,Reilinger
SHA1,53.492,36.679,-4.6,8.21,0.74,0.76,0.01,Raeesi
SHAB,45.887,38.228,1.75,12.63,0.38,0.37,0.024,Raeesi
SHAH,50.748,32.367,-2.48,12.99,0.4,0.38,-0.015,Raeesi
SHAM,58.431,37.57,-0.63,2.32,0.66,0.66,-0.023,Raeesi
SHAN,51.775,28.4,-0.92,18.01,1.62,1.6,0,Raeesi
SHEK,47.25,41.132,0.65,5.47,0.5,0.5,0,Reilinger
SHIK,49.426,40.025,3.56,1.78,0.53,0.51,0,Reilinger
SHIR,57.308,37.814,-2.79,3.55,0.45,0.41,0.002,Raeesi
SHKH,60.296,33.654,0.16,1.65,0.96,0.9,-0.015,Raeesi
SHOL,49.668,33.073,-0.84,14.04,0.74,0.71,-0.002,Raeesi
SHOR,51.8842,35.2772,-1.05,13.62,0.17,0.12,0.009,IPGN
SHOU,46.76,39.753,4.55,10.75,0.44,0.42,0,Reilinger
SHRN,57.8227,37.4372,-2.78,3,0.52,0.82,0.001,IPGN
SHRZ,52.6026,29.5444,-0.65,14.13,0.11,0.11,0.015,IPGN
SHUA,42.133,41.648,0.81,3.31,1.33,0.82,-0.016,Reilinger
SIRT,41.936,37.932,-4.61,15.23,1.5,1.51,-0.002,Reilinger
SIYE,49.12,41.066,0.52,1.89,0.68,0.61,0,Reilinger
SKOH,46.1229,37.9332,0,12.55,0.11,0.16,0.009,IPGN
SLNY,42.259,44.891,-1.03,1.85,0.49,0.39,-0.057,Reilinger
SMNN,53.4207,35.5882,-0.85,10.33,0.33,0.15,0.004,IPGN
SNDJ,47.0146,35.2552,-3.3,14,0.37,0.35,0.001,IPGN
SOLA,46.4006,24.9107,4.88,19.53,0.12,0.1,0.015,IPGN*
SOLE,49.328,32.037,-3.64,18.31,1.65,1.64,0.009,Raeesi
SOLH,41.057,38.959,-6.91,13.98,1.01,1.1,-0.017,Reilinger
SORC,57.884,27.901,1.37,13.36,2.24,2.05,0.022,Raeesi
SRCH,55.885,30.014,1.02,14.06,1.67,1.66,0.001,Raeesi
SRJN,55.707,29.304,0.76,15.15,1.64,1.63,0.002,Raeesi
SRVN,62.3183,27.3902,2.26,3.47,0.25,0.17,0.003,IPGN
STEP,44.364,41.031,2.32,5.02,0.5,0.5,-0.041,Reilinger
SVR2,53.244,29.281,-2.54,13.95,1.15,1.15,0.001,Raeesi
SYON,48.773,15.947,11.3,19.54,0.7,0.66,0,Reilinger
TABS,56.9507,33.6034,-0.44,9.82,0.15,0.15,0.008,IPGN
TABZ,46.3433,38.0557,1.22,10.83,0.24,0.19,0.003,IPGN
TANG,52.043,35.492,-0.85,9.97,0.36,0.36,0.01,Raeesi
